//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado
//
// Restrições da consulta:
//   Código da Estação: 247008
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima7;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus13;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status;
00247008;1;01/11/1996;1;41,9;76;13;9;1;1;0;2768,7;1;1,3;0;0,6;0;0;0;3,7;0;0;0;0;0;41,9;5,5;0,4;0;0;0;0;0;0;7,5;0;4,5;0;0;0;0;0;10,6;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00247008;1;01/12/1996;1;109,3;157,8;12;14;1;1;0;2768,7;1;0;8,2;0;0;0;0;2,9;0;6,3;9,1;0;109,3;0;1,6;0;0;3,1;0,2;0;4,1;0;0,9;0;10,7;0;0;0;0,2;0,5;0,7;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00247008;1;01/01/1997;1;75,5;310,5;15;25;1;1;0;1865,7;1;22,2;2,8;10,2;2,5;1,1;27,1;0,2;6,2;0,8;0;1,5;8,6;6,7;19,2;75,5;9,2;0;2,1;0;2,8;0;0,9;0,4;9,8;1,2;11,6;10,8;0;0;3,5;73,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00247008;1;01/02/1997;1;23,1;169,1;15;22;1;1;0;1865,7;1;7,4;16,6;2,8;4,4;0;7,6;6,6;12,6;22,3;6,6;0;13,3;2,3;14,3;23,1;2,3;0;0;1,3;2,2;1,5;1,6;10,5;0;0,5;0;3,1;6,2;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
00247008;1;01/03/1997;1;62,6;380;17;23;1;1;0;1865,7;1;6,2;0;59,6;0;10,5;1,2;0;1,1;9,1;0;10,6;0;10,8;1,8;31,2;8,2;62,6;0;21,6;0,5;0,9;7,6;0;4,4;32,9;0;33,5;47,2;3,2;9,8;5,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00247008;1;01/04/1997;1;56,3;346,3;13;22;1;1;0;1865,7;1;2,9;3,2;9,9;0;9,8;4,7;6,7;6,5;40,4;16,9;2,6;31,9;56,3;6,3;0;0,8;0;0;4,6;0;0;0,2;14,5;0;51,4;42,6;0;10,7;19,5;3,9;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00247008;1;01/05/1997;1;53,1;266,6;13;19;1;1;0;1865,7;1;6,1;20,8;15,6;10,8;16,5;13,4;1,7;8,1;26,3;0;0;5,1;53,1;0;1,3;4,8;23,1;0;0;0;5,1;0;0;0;4,3;7,3;7,1;36,1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00247008;1;01/06/1997;1;8,1;18,8;28;5;1;1;0;1865,7;1;0;0;0;1,2;0;0;0;0;0;0;0;7,1;0,1;0;0;0;0;0;0;0;0;0;2,3;0;0;0;0;8,1;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00247008;1;01/07/1997;1;37,7;45,7;3;5;1;1;0;1865,7;1;0;0;37,7;0;0;0;0;0;1,1;0;0;0;0;0;4,2;0,5;0;0;0;0;2,2;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00247008;1;01/08/1997;1;22,6;70,3;10;7;1;1;0;1865,7;1;0;0;0;13,3;0;0;0;0;12,6;22,6;11,2;7,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,6;2,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
